번호,대표음식명,에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(㎎)
35,전주콩나물국밥,837.98,100.11,51.77,29,0,0
36,해물덮밥,698,101.75,42.99,11.4,18.41,0
37,회덮밥,891.43,77.06,48.94,40.76,0,0
38,소머리국밥,811.44,78.28,56.76,36.45,3.3,0
39,돼지국밥,477.6,84.59,7.92,9.67,0,0
40,하이라이스,377.26,71.8,11.45,4.62,0,0
41,김치김밥,414.78,74.14,19.93,2.37,6.97,0
42,농어초밥,377.97,71.84,16.9,1.03,4.98,0
43,문어초밥,395.54,69.54,22.74,1.21,2.99,0
44,새우초밥,572.02,81.5,21.11,18.9,4,0
45,새우튀김롤,422.43,75.84,12.76,7.51,0,0
46,샐러드김밥,471.66,72.53,33.74,3.21,5.23,0
