번호,대표음식명,에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(㎎)
224,김치전,361.6,16.6,18.3,24.6,0.8,0
225,깻잎전,189.3,18.6,10,8.3,0,0
226,녹두빈대떡,222.4,30.1,6.1,8.6,0,0
227,미나리전,250.1,32.5,6.4,10.5,0,0
228,배추전,238.5,18.6,11.9,12.9,0.8,0
229,버섯전,242.1,32,7.1,9.5,0,0
230,부추전,198.7,25,5,8.8,0,0
231,야채전,289.1,37.5,7.7,12,0,0
232,파전,131.3,8.7,3.4,9.2,0,0
233,호박부침개,222.4,16.6,6.6,14.4,0,0
234,호박전,167.9,4.7,12,11.2,0,0
235,달걀말이,135.7,4.3,9.9,8.8,0,0
236,두부부침,269.2,8.1,18.7,18,0,0
237,두부전,68.8,4.8,7.2,2.3,2.7,0
238,건새우볶음,481.3,58.8,44.7,7.5,16.8,0
239,낙지볶음,172.5,14.2,17.4,5.1,8.6,0
240,멸치볶음,290,36.3,18,8.1,4.5,0
241,어묵볶음,253,27.4,20.4,6.8,9.3,0
242,오징어볶음,139.4,17.5,13.5,1.7,3.4,0
243,오징어채볶음,222.4,21.7,20.2,6.1,6.7,0
244,주꾸미볶음,433.9,36.5,37.5,15.3,7.7,0
245,해물볶음,152.6,20.6,3.4,6.3,1.2,0
246,감자볶음,544.1,54.6,13.2,30.3,22.4,0
247,김치볶음,248.8,17.3,8,16.4,0.2,0
248,깻잎나물볶음,387.2,35.6,11,22.3,0.4,0
249,느타리버섯볶음,323.8,13.8,19.2,21.3,0,0
250,두부김치,119.6,7.7,4.3,8,0,0
251,머위나물볶음,380.4,26.4,13.6,24.5,0,0
252,양송이버섯볶음,348.5,35.7,10,18.4,3.7,0
253,표고버섯볶음,254.3,22.1,12.9,12.7,8.4,0
254,고추잡채,33.5,3.1,0.8,2,0,0
255,호박볶음,352.8,15.3,25.8,20.9,4.8,0
256,돼지고기볶음,353.6,22.7,22.4,19.2,15.8,0
257,돼지껍데기볶음,482.6,28.8,17,33.2,5.8,0
258,소세지볶음,584.6,71,17.6,25.6,14.3,0
259,순대볶음,558.8,24.5,38.2,34.2,4.1,0
260,오리불고기,361.4,21.5,23.4,20.2,7.4,0
261,오삼불고기,296.9,58.8,8.7,3,5.7,0
262,떡볶이,282.7,41.1,8,9.6,6.4,0
263,라볶이,219.4,11,16.8,12,0.6,0
264,마파두부,306.3,20.3,40.7,6.9,6,0
265,가자미조림,249.9,13.7,26.7,9.8,1.2,0
266,갈치조림,453.5,11,45.4,25.4,1.5,0
267,고등어조림,273.8,8.4,22.6,16.7,1.4,0
268,꽁치조림,260,16.8,39,4.1,5,0
269,동태조림,463.8,39.2,59.7,7.6,7.3,0
270,북어조림,369,14.2,41.4,16.3,1.4,0
271,조기조림,356.8,11.4,46.2,14,1.2,0
272,코다리조림,331.8,25.1,21.9,16,7.9,0
273,달걀장조림,201.1,7.4,12.1,13.7,2.4,0
274,메추리알장조림,155.1,7.8,19,5.3,2.1,0
275,돼지고기메추리알장조림,150.9,8.6,16.7,5.5,2.5,0
276,소고기메추리알장조림,271.2,37.1,7.2,10.5,7.5,0
277,고추조림,104,21,3.9,0.5,2,0
278,감자조림,173.5,38.8,2.8,0.8,19,0
279,우엉조림,147,26.2,3.4,3.2,3.9,0
280,알감자조림,155.3,17.5,9.6,5.2,7.3,0
